oc1,oc2,appel_2nde,loisir_2nde,loisir_1ere,comment
CAEN,MARNE LA VALLEE CHESSY,15,57,69,
CAEN,MASSY PALAISEAU,15,44,64,
CAEN,MONTBARD,20,78,102,
CAEN,MOUTIERS SALINS BRIDES,25,125,165,
CAEN,VALOGNES,,22,39,
CAEN,VERSAILLES CHANTIERS,15,44,64,
CAGNES SUR MER,ANTIBES,,3.5,6.8,
CAGNES SUR MER,CANNES,,6.4,12.6,
CAGNES SUR MER,LES ARCS DRAGUIGNAN,,20.5,37,
CAGNES SUR MER,MENTON,,9.6,14.6,
CAGNES SUR MER,MONACO MONTE CARLO,,8.4,14.6,
CAGNES SUR MER,NICE VILLE,,3.9,7.8,
CAGNES SUR MER,ST RAPHAEL VALESCURE,,14.8,29,
CALAIS VILLE,CALAIS FRETHUN,,3.1,6.2,
CALAIS VILLE,LILLE EUROPE,,25.5,39,
CALAIS VILLE,PARIS NORD,15,66,86,
CAMBRAI,ARRAS,,12.9,19,
CAMBRAI,DOUAI,,8.7,12.6,
CAMBRAI,VALENCIENNES,,11.9,21,
CANNES,AEROPORT CDG 2 TGV ROISSY,25,132,185,
CANNES,AIX LES BAINS LE REVARD,25,100,160,
CANNES,ANNECY,25,105,160,
CANNES,ANTIBES,,4.1,6.6,
CANNES,BEAUNE,25,116,151,
CANNES,BELLEGARDE,25,98,143,
CANNES,CHALON SUR SAONE,25,116,151,
CANNES,LES ARCS DRAGUIGNAN,,14.6,21.5,
CANNES,LILLE EUROPE,30,155,196,
CANNES,LYON PART DIEU,25,86,121,
CANNES,LYON PERRACHE,25,86,121,
CANNES,LYON ST EXUPERY,25,86,121,
CANNES,MACON LOCHE TGV,25,95,134,
CANNES,MARNE LA VALLEE CHESSY,25,132,185,
CANNES,MARSEILLE BLANCARDE,,35,50,
CANNES,MARSEILLE ST CHARLES,,35,50,
CANNES,MENTON,,12.9,19,
CANNES,MONACO MONTE CARLO,,11.9,17.5,
CANNES,NEUFCHATEAU,25,124,161,
CANNES,NICE VILLE,,9.8,14.8,
CANNES,PARIS GARE DE LYON,25,132,185,
CANNES,PARIS NORD,25,132,185,
CANNES,ST RAPHAEL VALESCURE,,10.2,15,
CANNES,TGV HAUTE PICARDIE,30,155,196,
CANNES,TOUL,25,135,175,
CANNES,TOULON,,24.5,38,
CANNES,VALENCE,20,73,107,
CANNES,VALENCE TGV,20,72,102,
CANNES,VENTIMIGLIA STAZIONE,,13.6,20,
CANNES,VENTIMIGLIA STAZIONE  (IT),,13.6,20,
CARCASSONNE,AEROPORT CDG 2 TGV ROISSY,25,116,162,
CARCASSONNE,ARRAS,30,150,188,
CARCASSONNE,BEAUNE,25,84,124,
CARCASSONNE,CHALON SUR SAONE,25,84,124,
CARCASSONNE,DOUAI,30,150,188,
CARCASSONNE,LILLE EUROPE,30,150,188,
CARCASSONNE,LYON PART DIEU,20,79,109,
CARCASSONNE,LYON PERRACHE,20,79,109,
CARCASSONNE,LYON ST EXUPERY,20,79,109,
CARCASSONNE,MACON VILLE,25,84,124,
CARCASSONNE,MARNE LA VALLEE CHESSY,25,116,162,
CARCASSONNE,MARSEILLE ST CHARLES,15,58,75,
CARCASSONNE,MONTAUBAN VILLE BOURBON,,28.5,43,
CARCASSONNE,MONTPELLIER,,29,43,
CARCASSONNE,NARBONNE,,14.6,21.5,
CARCASSONNE,NIMES,,36,53,
CARCASSONNE,PERPIGNAN,,25,38,
CARCASSONNE,SETE,,25,38,
CARCASSONNE,TGV HAUTE PICARDIE,30,150,188,
CARCASSONNE,TOULOUSE MATABIAU,,19.5,28.5,
CARCASSONNE,VALENCE,20,65,95,
CARCASSONNE,VALENCE TGV,20,65,95,
CARCASSONNE,VILLENEUVE LES AVIGNONS,,43,62,
CARENTAN,AIME LA PLAGNE,25,125,165,
CARENTAN,ALBERTVILLE,25,125,165,
CARENTAN,BERNAY,,37,52,
CARENTAN,BOURG ST MAURICE,25,125,165,
CARENTAN,EVREUX EMBRANCHEMENT,,37,52,
CARENTAN,LANDRY,25,125,165,
CARENTAN,LISIEUX,,25,37,
CARENTAN,LISON,,5.7,9,
CARENTAN,MANTES LA J. TGV,,43,63,
CARENTAN,MANTES LA JOLIE,,43,63,
CARENTAN,MASSY PALAISEAU,20,52,86,
CARENTAN,MOUTIERS SALINS BRIDES,25,125,165,
CARENTAN,VALOGNES,,8.5,12.6,
CASTELNAUDARY,AEROPORT CDG 2 TGV ROISSY,25,116,162,
CASTELNAUDARY,LILLE EUROPE,30,150,188,
CASTELNAUDARY,LYON PART DIEU,,64,107,
CASTELNAUDARY,MARNE LA VALLEE CHESSY,25,116,162,
CASTELNAUDARY,MONTPELLIER,,34,50,
CASTELNAUDARY,NIMES,,40,61,
CASTELNAUDARY,TGV HAUTE PICARDIE,30,150,188,
CASTELNAUDARY,TOULOUSE MATABIAU,,13.7,20.5,
CASTELNAUDARY,VALENCE TGV,,54,93,
CHALON SUR SAONE,ECOLE VALENTIN,,30,41,
CHALON SUR SAONE,LES ARCS DRAGUIGNAN,25,87,121,
CHALON SUR SAONE,MONTBELIARD,,37,52,
CHALON SUR SAONE,NARBONNE,25,84,124,
CHALON SUR SAONE,SETE,,81,107,
CHALON SUR SAONE,ST RAPHAEL VALESCURE,25,116,151,
CHALON SUR SAONE,TOULOUSE MATABIAU,25,97,143,
CHALONS EN CHAMPAGNE,THIONVILLE,,37,54,
CHAMBERY CHALLES LES EAUX,AEROPORT CDG 2 TGV ROISSY,25,103,136,
CHAMBERY CHALLES LES EAUX,AIME LA PLAGNE,,25,38,
CHAMBERY CHALLES LES EAUX,AIX LES BAINS LE REVARD,,4.6,7.9,
CHAMBERY CHALLES LES EAUX,ALBERTVILLE,,14.3,20.5,
CHAMBERY CHALLES LES EAUX,ANNECY,,12.6,18.5,
CHAMBERY CHALLES LES EAUX,ANTIBES,25,100,152,
CHAMBERY CHALLES LES EAUX,ARRAS,25,127,167,
CHAMBERY CHALLES LES EAUX,AURAY,30,137,179,
CHAMBERY CHALLES LES EAUX,BELFORT,MONTBELIARD TGV,20,77,89,
CHAMBERY CHALLES LES EAUX,BERNAY,25,125,165,
CHAMBERY CHALLES LES EAUX,BESANCON FRANCHE,COMTE TGV,15,63,72,
CHAMBERY CHALLES LES EAUX,BOURG EN BRESSE,,24.5,36,
CHAMBERY CHALLES LES EAUX,BOURG ST MAURICE,,28.5,42,
CHAMBERY CHALLES LES EAUX,CANNES,25,98,152,
CHAMBERY CHALLES LES EAUX,CARENTAN,25,125,165,
CHAMBERY CHALLES LES EAUX,CHATELLERAULT,25,124,161,
CHAMBERY CHALLES LES EAUX,CLUSES  74,,24,36,
CHAMBERY CHALLES LES EAUX,DOUAI,25,127,167,
CHAMBERY CHALLES LES EAUX,ECOLE VALENTIN,,63,72,
CHAMBERY CHALLES LES EAUX,EVREUX EMBRANCHEMENT,25,125,165,
CHAMBERY CHALLES LES EAUX,GRENOBLE,,14.3,20.5,
CHAMBERY CHALLES LES EAUX,GUINGAMP,30,137,179,
CHAMBERY CHALLES LES EAUX,LANDRY,,27,40,
CHAMBERY CHALLES LES EAUX,LE CREUSOT MONTCEAU MONTCHANIN,15,55,72,
CHAMBERY CHALLES LES EAUX,LEPIN LE LAC LA BAUCHE,,5.3,10.5,
CHAMBERY CHALLES LES EAUX,LILLE EUROPE,25,127,167,
CHAMBERY CHALLES LES EAUX,LISIEUX,25,125,165,
CHAMBERY CHALLES LES EAUX,LISON,25,125,165,
CHAMBERY CHALLES LES EAUX,LORIENT,30,137,179,
CHAMBERY CHALLES LES EAUX,LYON PART DIEU,,26,42,
CHAMBERY CHALLES LES EAUX,LYON PERRACHE,,26,42,
CHAMBERY CHALLES LES EAUX,LYON ST EXUPERY,,22.5,42,
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,,30,44,
CHAMBERY CHALLES LES EAUX,MACON VILLE,,30,44,
CHAMBERY CHALLES LES EAUX,MARNE LA VALLEE CHESSY,25,103,136,
CHAMBERY CHALLES LES EAUX,MARSEILLE ST CHARLES,25,89,119,
CHAMBERY CHALLES LES EAUX,MASSY PALAISEAU,25,103,136,
CHAMBERY CHALLES LES EAUX,MASSY TGV,25,103,136,
CHAMBERY CHALLES LES EAUX,MORLAIX,30,147,190,
CHAMBERY CHALLES LES EAUX,MOUTIERS SALINS BRIDES,,22,32,
CHAMBERY CHALLES LES EAUX,NANTES,25,125,165,
CHAMBERY CHALLES LES EAUX,NICE VILLE,25,102,152,
CHAMBERY CHALLES LES EAUX,PARIS GARE DE LYON,25,103,136,
CHAMBERY CHALLES LES EAUX,PARIS NORD,25,103,136,
CHAMBERY CHALLES LES EAUX,POITIERS,25,124,161,
CHAMBERY CHALLES LES EAUX,QUIMPER,30,147,190,
CHAMBERY CHALLES LES EAUX,REDON,30,137,179,
CHAMBERY CHALLES LES EAUX,RENNES,25,127,166,
CHAMBERY CHALLES LES EAUX,ROUEN RIVE DROITE,25,121,160,
CHAMBERY CHALLES LES EAUX,SALLANCHES COMBLOUX MEGEVE,,26.5,39,
CHAMBERY CHALLES LES EAUX,ST AVRE LA CHAMBRE,,13.7,20.5,
CHAMBERY CHALLES LES EAUX,ST BRIEUC,30,137,179,
CHAMBERY CHALLES LES EAUX,ST GERVAIS LES BAINS LE FAYET,,27,41,
CHAMBERY CHALLES LES EAUX,ST JEAN DE MAURIENNE ARVAN,,15.5,22.5,
CHAMBERY CHALLES LES EAUX,ST MICHEL VALLOIRE,,18.5,26,
CHAMBERY CHALLES LES EAUX,ST PIERRE DES CORPS,,114,151,
CHAMBERY CHALLES LES EAUX,ST RAPHAEL VALESCURE,25,93,152,
CHAMBERY CHALLES LES EAUX,TGV HAUTE PICARDIE,25,119,156,
CHAMBERY CHALLES LES EAUX,TOULON,25,83,113,
CHAMBERY CHALLES LES EAUX,VALENCE TGV,,36,66,
CHAMBERY CHALLES LES EAUX,VALOGNES,25,125,165,
CHAMBERY CHALLES LES EAUX,VANNES,30,137,179,
CHAMBERY CHALLES LES EAUX,VENDOME VILLIERS SUR LOIR,,114,151,
CHAMBERY CHALLES LES EAUX,VERSAILLES CHANTIERS,25,103,136,
CHAMBÉRY,CHAMBÉRY,LAVAL,25,120,162,
CHAMPAGNE ARDENNE , FUTUROSCOPE,25,97,128,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHAMPAGNE ARDENNE , POITIERS,25,97,128,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHAMPAGNE ARDENNE , RENNES,25,108,143,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHAMPAGNE ARDENNE,AEROPORT CDG 2 TGV ROISSY,15,44,61,
CHAMPAGNE ARDENNE,ARRAS,20,82,107,
CHAMPAGNE ARDENNE,BAR LE DUC,,31,43,
CHAMPAGNE ARDENNE,CHALONS EN CHAMPAGNE,,11.3,16.5,
CHAMPAGNE ARDENNE,colmar,25,90,112,
CHAMPAGNE ARDENNE,DOUAI,20,80,96,
CHAMPAGNE ARDENNE,FUTUROSCOPE,25,93,123,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHAMPAGNE ARDENNE,LIBOURNE,25,112,149,
CHAMPAGNE ARDENNE,LILLE EUROPE,20,80,96,
CHAMPAGNE ARDENNE,LORRAINE TGV,,42,57,
CHAMPAGNE ARDENNE,MARNE LA VALLEE CHESSY,15,44,61,
CHAMPAGNE ARDENNE,MEUSE,,23.5,33,
CHAMPAGNE ARDENNE,NANCY VILLE,,42,57,
CHAMPAGNE ARDENNE,NANTES,25,98,129,
CHAMPAGNE ARDENNE,PARIS EST,15,44,61,
CHAMPAGNE ARDENNE,POITIERS,25,93,123,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHAMPAGNE ARDENNE,RENNES,25,98,129,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHAMPAGNE ARDENNE,ROUEN RIVE DROITE,15,53,70,
CHAMPAGNE ARDENNE,SAVERNE,20,66,96,
CHAMPAGNE ARDENNE,ST PIERRE DES CORPS,25,83,110,
CHAMPAGNE ARDENNE,TGV HAUTE PICARDIE,20,65,79,
CHAMPAGNE ARDENNE,THIONVILLE,,52,78,
CHAMPAGNE ARDENNE,VENDOME VILLIERS SUR LOIR,25,83,110,
CHARLEVILLE MEZIERES,SEDAN,,6.3,9.7,
CHATEAUROUX,AEROPORT CDG 2 TGV ROISSY,20,69,86,
CHATEAUROUX,JUVISY,15,43,65,
CHATEAUROUX,JUVISY TGV,15,43,65,
CHATEAUROUX,LA SOUTERRAINE,,18,26,
CHATEAUROUX,LES AUBRAIS ORLEANS,,27,41,
CHATEAUROUX,LILLE EUROPE,25,105,132,
CHATEAUROUX,MARNE LA VALLEE CHESSY,20,69,86,
CHATEAUROUX,VIERZON VILLE,,15,22.5,
CHATELLERAULT , MONTAUBAN VILLE BOURBON,,67,97,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHATELLERAULT , ST PIERRE DES CORPS,,16,23.5,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHATELLERAULT , TOULOUSE MATABIAU,,73,105,Tarifs applicables aux circulations à partir du 2 juillet 2017
CHATELLERAULT,LIBOURNE,,41,60,
CHATELLERAULT,MONTAUBAN VILLE BOURBON,,66,95,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHATELLERAULT,ST JEAN DE LUZ CIBOURE,,70,103,
CHATELLERAULT,ST PIERRE DES CORPS,,15,22,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHATELLERAULT,TARBES,,73,105,
CHATELLERAULT,TOULOUSE MATABIAU,,72,103,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHERBOURG,AEROPORT CDG 2 TGV ROISSY,20,70,86,
CHERBOURG,AIME LA PLAGNE,25,125,165,
CHERBOURG,ALBERTVILLE,25,125,165,
CHERBOURG,BAYEUX,,25,39,
CHERBOURG,BERNAY,,44,64,
CHERBOURG,BOURG ST MAURICE,25,125,165,
CHERBOURG,CAEN,,26.5,39,
CHERBOURG,CARENTAN,,13.6,20,
CHERBOURG,CHAMBERY CHALLES LES EAUX,25,125,165,
CHERBOURG,EVREUX EMBRANCHEMENT,,44,64,
CHERBOURG,LANDRY,25,125,165,
CHERBOURG,LISIEUX,,34,48,
CHERBOURG,LISON,,17,26,
CHERBOURG,MANTES LA J. TGV,,60,72,
CHERBOURG,MANTES LA JOLIE,15,60,72,
CHERBOURG,MARNE LA VALLEE CHESSY,20,70,86,
CHERBOURG,MASSY PALAISEAU,20,52,86,
CHERBOURG,MONTBARD,20,78,102,
CHERBOURG,MOUTIERS SALINS BRIDES,25,125,165,
CHERBOURG,VALOGNES,,8.7,12.6,
CHERBOURG,VERSAILLES CHANTIERS,20,52,86,
CLUSES  74,AEROPORT CDG 2 TGV ROISSY,25,119,163,
CLUSES  74,AIX LES BAINS LE REVARD,,21.5,32,
CLUSES  74,ANNECY,,14.6,21,
CLUSES  74,ANNEMASSE,,11,16,
CLUSES  74,ARRAS,,127,167,
CLUSES  74,AURAY,30,137,179,
CLUSES  74,BELLEGARDE,,17.5,24.5,
CLUSES  74,BOURG EN BRESSE,,36,50,
CLUSES  74,DOUAI,,127,167,
CLUSES  74,LA ROCHE SUR FORON,,7.9,11.3,
CLUSES  74,LILLE EUROPE,,127,167,
CLUSES  74,LORIENT,30,137,179,
CLUSES  74,MACON LOCHE TGV,15,40,58,
CLUSES  74,MARNE LA VALLEE CHESSY,25,119,163,
CLUSES  74,MORLAIX,30,147,190,
CLUSES  74,NANTES,25,127,167,
CLUSES  74,PARIS GARE DE LYON,25,119,163,
CLUSES  74,PARIS NORD,25,119,163,
CLUSES  74,QUIMPER,30,147,190,
CLUSES  74,REDON,30,137,179,
CLUSES  74,RENNES,25,132,170,
CLUSES  74,SALLANCHES COMBLOUX MEGEVE,,5.3,8.4,
CLUSES  74,ST BRIEUC,30,137,179,
CLUSES  74,ST GERVAIS LES BAINS LE FAYET,,6.8,10.4,
CLUSES  74,TGV HAUTE PICARDIE,25,119,156,
CLUSES  74,VANNES,30,137,179,
COLMAR,AEROPORT CDG 2 TGV ROISSY,25,96,137,
COLMAR,AIME LA PLAGNE,25,109,134,
COLMAR,AIX EN PROVENCE TGV,20,124,161,
COLMAR,ALBERTVILLE,25,106,126,
COLMAR,AVIGNON,,114,149,
COLMAR,AVIGNON TGV,20,114,149,
COLMAR,BELFORT,MONTBELIARD TGV,,27.5,37,
COLMAR,BESANCON FRANCHE,COMTE TGV,15,46,61,
COLMAR,BOURG EN BRESSE,20,70,90,
COLMAR,BOURG ST MAURICE,25,109,134,
COLMAR,CHALON SUR SAONE,20,72,90,
COLMAR,CHAMBERY CHALLES LES EAUX,20,92,109,
COLMAR,ECOLE VALENTIN,,46,61,
COLMAR,LANDRY,25,109,134,
COLMAR,LONS LE SAUNIER,15,60,77,
COLMAR,LYON PART DIEU,20,85,110,
COLMAR,LYON PERRACHE,20,85,110,
COLMAR,LYON ST EXUPERY,20,85,110,
COLMAR,MACON VILLE,20,72,90,
COLMAR,MARNE LA VALLEE CHESSY,25,96,137,
COLMAR,MARSEILLE ST CHARLES,20,124,161,
COLMAR,MONTBELIARD,,21,31,
COLMAR,MONTPELLIER,25,112,160,
COLMAR,MOUCHARD,,44,64,
COLMAR,MOUTIERS SALINS BRIDES,25,109,132,
COLMAR,MULHOUSE VILLE,,9.8,15,
COLMAR,NIMES,25,107,152,
COLMAR,PARIS EST,25,112,150,
COLMAR,PARIS GARE DE LYON,,112,150,
COLMAR,SAVERNE,,15.5,23,
COLMAR,SELESTAT,,6,9.1,
COLMAR,VALENCE TGV,20,98,128,
CONFLANS FDO TGV,AEROPORT CDG 2 TGV ROISSY,,35,47,
CONFLANS FDO TGV,ROUEN RIVE DROITE,,35,47,
CONFLANS FIN D'OISE,AEROPORT CDG 2 TGV ROISSY,,35,47,
CONFLANS FIN D'OISE,MANTES LA JOLIE,,35,47,
CONFLANS FIN D'OISE,MEUSE,15,44,68,
CONFLANS FIN D'OISE,ROUEN RIVE DROITE,,35,47,
COUTRAS,PARIS MONTPARNASSE 1 ET 2,,96,126,
CROIX WASQUEHAL,ARRAS,,17.5,35,
CROIX WASQUEHAL,PARIS NORD,15,63,82,
CULMONT CHALINDREY,Agde,25,94,125,
CULMONT CHALINDREY,Antibes,25,124,161,
CULMONT CHALINDREY,BEZIERS,25,94,125,
CULMONT CHALINDREY,cannes,25,124,161,
CULMONT CHALINDREY,carcassonne,25,101,131,
CULMONT CHALINDREY,CHALON SUR SAONE,,31,46,
CULMONT CHALINDREY,Les Arcs Draguignan,25,105,145,
CULMONT CHALINDREY,LYON PART DIEU,20,48,73,
CULMONT CHALINDREY,MACON VILLE,,35,55,
CULMONT CHALINDREY,MARSEILLE ST CHARLES,25,98,140,
CULMONT CHALINDREY,MONTPELLIER,25,84,113,
CULMONT CHALINDREY,NANCY VILLE,,30,46,
CULMONT CHALINDREY,narbonne,25,98,127,
CULMONT CHALINDREY,NEUFCHATEAU,,24.5,33,
CULMONT CHALINDREY,nice ville,25,124,161,
CULMONT CHALINDREY,NIMES,25,80,111,
CULMONT CHALINDREY,SETE,25,94,125,
CULMONT CHALINDREY,ST RAPHAEL VALESCURE,25,124,161,
CULMONT CHALINDREY,toulon,25,100,137,
CULMONT CHALINDREY,toulouse matabiau,25,108,142,
CULMONT CHALINDREY,VALENCE TGV,20,77,101,
CULOZ,AIX LES BAINS LE REVARD,,6.7,10.4,
CULOZ,ANNECY,,14.2,20.5,
CULOZ,ANTIBES,,98,143,
CULOZ,BELLEGARDE,,9.3,13.7,
CULOZ,BOURG EN BRESSE,,18.5,26,
CULOZ,CANNES,,98,143,
CULOZ,LES ARCS DRAGUIGNAN,,98,143,
CULOZ,LYON PART DIEU,,18,26.5,
CULOZ,MACON LOCHE TGV,,24.5,36,
CULOZ,MARSEILLE ST CHARLES,,65,109,
CULOZ,NICE VILLE,,98,143,
CULOZ,PARIS GARE DE LYON,25,89,127,
CULOZ,PARIS NORD,25,89,127,
CULOZ,ST RAPHAEL VALESCURE,,98,143,
CULOZ,TOULON,,98,143,
CULOZ,VALENCE TGV,,39,66,
DAX , MASSY TGV,25,122,173,Tarifs applicables aux circulations à partir du 2 juillet 2017
DAX , PARIS MONTPARNASSE 1 ET 2,25,122,173,Tarifs applicables aux circulations à partir du 2 juillet 2017
DAX,AEROPORT CDG 2 TGV ROISSY,25,110,143,
DAX,ANGOULEME,,46,67,
DAX,ARRAS,30,144,174,
DAX,BAYONNE,,12.6,18.5,
DAX,BIARRITZ,,14.2,20.5,
DAX,BORDEAUX ST JEAN,,29,42,
DAX,CHATELLERAULT,,63,90,
DAX,DOUAI,30,144,174,
DAX,FACTURE BIGANOS,,22.5,33,
DAX,FUTUROSCOPE,,61,87,
DAX,HENDAYE,,19.5,27,
DAX,LIBOURNE,,35,49,
DAX,LILLE EUROPE,30,144,174,
DAX,LILLE FLANDRES,30,144,174,
DAX,LOURDES,,25,37,
DAX,MARNE LA VALLEE CHESSY,25,110,143,
DAX,MASSY TGV,25,110,143,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DAX,ORTHEZ,,11.4,17,
DAX,PARIS AUSTERLITZ,25,110,143,
DAX,PARIS MONTPARNASSE 1 ET 2,25,110,143,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DAX,PAU,,19,27,
DAX,POITIERS,,60,86,
DAX,RUFFEC CHARENTE,,46,67,
DAX,ST JEAN DE LUZ CIBOURE,,16.5,23.5,
DAX,ST PIERRE DES CORPS,25,70,103,
DAX,TARBES,,28.5,42,
DAX,TGV HAUTE PICARDIE,30,144,174,
DIJON VILLE,AEROPORT CDG 2 TGV ROISSY,15,67,90,
DIJON VILLE,AGDE,,101,134,
DIJON VILLE,AGEN,25,122,163,
DIJON VILLE,AIX EN PROVENCE TGV,20,91,122,
DIJON VILLE,ANTIBES,25,124,161,
DIJON VILLE,AVIGNON,20,81,106,
DIJON VILLE,AVIGNON TGV,20,81,106,
DIJON VILLE,BEAUNE,,10.3,15,
DIJON VILLE,BELFORT,,37,53,
DIJON VILLE,BELFORT,MONTBELIARD TGV,15,49,64,
DIJON VILLE,BESANCON FRANCHE,COMTE TGV,,24.5,33,
DIJON VILLE,BESANCON VIOTTE,,24.5,33,
DIJON VILLE,BEZIERS,20,101,134,
DIJON VILLE,BORDEAUX ST JEAN,30,137,185,
DIJON VILLE,CAEN,20,86,112,
DIJON VILLE,CANNES,25,124,161,
DIJON VILLE,CARCASSONNE,25,107,141,
DIJON VILLE,CHALON SUR SAONE,,15,22.5,
DIJON VILLE,CHERBOURG,20,86,112,
DIJON VILLE,COLMAR,20,57,75,
DIJON VILLE,CULMONT CHALINDREY,,16.5,24.5,
DIJON VILLE,DOLE VILLE,,11.9,16.5,
DIJON VILLE,ECOLE VALENTIN,,24.5,33,
DIJON VILLE,EVREUX EMBRANCHEMENT,20,82,107,
DIJON VILLE,FRASNE,,24.5,36,
DIJON VILLE,LES ARCS DRAGUIGNAN,25,97,137,
DIJON VILLE,LILLE EUROPE,20,111,144,
DIJON VILLE,LILLE FLANDRES,20,111,144,
DIJON VILLE,LISIEUX,20,86,112,
DIJON VILLE,LYON PART DIEU,,37,60,
DIJON VILLE,LYON PERRACHE,,37,60,
DIJON VILLE,LYON ST EXUPERY,,36,51,
DIJON VILLE,MACON LOCHE TGV,,26,39,
DIJON VILLE,MACON VILLE,,24.5,37,
DIJON VILLE,MANTES LA J. TGV,,65,89,
DIJON VILLE,MANTES LA JOLIE,20,65,89,
DIJON VILLE,MARNE LA VALLEE CHESSY,15,67,90,
DIJON VILLE,MARSEILLE ST CHARLES,20,91,122,
DIJON VILLE,METZ VILLE,20,64,83,
DIJON VILLE,MONTAUBAN VILLE BOURBON,,122,157,
DIJON VILLE,MONTBARD,,16.5,23.5,
DIJON VILLE,MONTBELIARD,,34,50,
DIJON VILLE,MONTPELLIER,20,91,122,
DIJON VILLE,MOUCHARD,,17.5,24.5,
DIJON VILLE,MULHOUSE VILLE,15,57,75,
DIJON VILLE,NANCY VILLE,15,40,64,
DIJON VILLE,NARBONNE,25,107,141,
DIJON VILLE,NEUFCHATEAU,,29,48,
DIJON VILLE,NICE VILLE,25,124,161,
DIJON VILLE,NIMES,20,84,110,
DIJON VILLE,PARIS BERCY,20,65,89,
DIJON VILLE,PARIS GARE DE LYON,15,67,90,
DIJON VILLE,PARIS NORD,20,65,89,
DIJON VILLE,PERPIGNAN,20,107,141,
DIJON VILLE,PONTARLIER,,26.5,40,
DIJON VILLE,SETE,,101,134,
DIJON VILLE,ST RAPHAEL VALESCURE,25,124,161,
DIJON VILLE,STRASBOURG,20,57,75,
DIJON VILLE,TOUL,,40,64,
DIJON VILLE,TOULON,25,95,124,
DIJON VILLE,TOULOUSE MATABIAU,25,122,157,
DIJON VILLE,VALENCE,15,57,76,
DIJON VILLE,VALENCE TGV,20,63,81,
DOL DE BRETAGNE , PARIS MONTPARNASSE 1 ET 2,20,95,138,Tarifs applicables aux circulations à partir du 2 juillet 2017
DOLE VILLE,AEROPORT CDG 2 TGV ROISSY,20,79,105,
DOLE VILLE,BELFORT,,30,44,
DOLE VILLE,FRASNE,,17.5,24.5,
DOLE VILLE,LILLE EUROPE,25,113,139,
DOLE VILLE,LILLE FLANDRES,25,113,139,
DOLE VILLE,MARNE LA VALLEE CHESSY,20,79,105,
DOLE VILLE,MONTBARD,,23.5,36,
DOLE VILLE,MONTBELIARD,,27,41,
DOLE VILLE,MOUCHARD,,9.2,13.5,
DOLE VILLE,PARIS GARE DE LYON,20,79,105,
DOLE VILLE,PARIS MONTPARNASSE 1 ET 2,20,76,106,
DOLE VILLE,PONTARLIER,,19.5,29,
DOL,PARIS MONTPARNASSE 1 ET 2,20,85,123,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOL,RENNES,,13.6,20,
DOL,ST MALO,,7.2,10.7,
DOL,VITRE,,21,30,
DOUAI , AURAY,25,116,153,Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI , LIBOURNE,25,130,172,Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI , REDON,25,113,144,Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI , ST MALO,25,116,147,Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI,AURAY,25,114,150,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI,LIBOURNE,25,130,171,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI,MONTAUBAN VILLE BOURBON,30,144,174,
DOUAI,NARBONNE,30,150,188,
DOUAI,REDON,25,108,137,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI,SALLANCHES COMBLOUX MEGEVE,,127,167,
DOUAI,SETE,30,150,188,
DOUAI,ST GERVAIS LES BAINS LE FAYET,,127,167,
DOUAI,ST JEAN DE LUZ CIBOURE,30,144,174,
DOUAI,ST MALO,25,110,140,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI,ST MICHEL VALLOIRE,,127,167,
DOUAI,ST PIERRE DES CORPS,25,101,134,
DOUAI,TOULOUSE MATABIAU,30,150,188,
DOUAI,VALENCIENNES,,10,14.6,
DUNKERQUE,AEROPORT CDG 2 TGV ROISSY,15,66,85,
DUNKERQUE,AIME LA PLAGNE,25,127,167,
DUNKERQUE,AIX LES BAINS LE REVARD,25,127,167,
DUNKERQUE,ALBERTVILLE,25,127,167,
DUNKERQUE,ANNECY,25,127,167,
DUNKERQUE,ANNEMASSE,25,127,167,
DUNKERQUE,ARRAS,,23.5,35,
DUNKERQUE,BETHUNE,,16,23,
DUNKERQUE,BOURG ST MAURICE,25,127,167,
DUNKERQUE,CHAMBERY CHALLES LES EAUX,25,127,167,
DUNKERQUE,CLUSES  74,25,127,167,
DUNKERQUE,DOUAI,,27,40,
